agent_id,agent_name,team,hire_date
1,Agent 01,Gamma,2022-04-06
2,Agent 02,Bravo,2023-01-10
3,Agent 03,Gamma,2023-10-16
4,Agent 04,Gamma,2022-08-31
5,Agent 05,Bravo,2022-10-01
6,Agent 06,Gamma,2022-08-11
7,Agent 07,Gamma,2023-07-30
8,Agent 08,Alpha,2022-07-23
9,Agent 09,Alpha,2024-03-03
10,Agent 10,Alpha,2022-12-23
11,Agent 11,Alpha,2023-01-18
12,Agent 12,Gamma,2023-02-08
13,Agent 13,Gamma,2023-04-12
14,Agent 14,Alpha,2023-03-19
15,Agent 15,Bravo,2023-02-12
16,Agent 16,Gamma,2024-03-07
17,Agent 17,Alpha,2023-10-09
18,Agent 18,Gamma,2023-09-27
