call_id,call_date,agent_id,handle_time_sec,fcr_flag,escalated_flag,sentiment,queue
1,2024-01-01,9,436,1,0,Neutral,Tech Support
2,2024-01-01,3,256,1,0,Negative,Billing
3,2024-01-01,8,153,1,0,Positive,Billing
4,2024-01-01,7,509,1,0,Neutral,Tech Support
5,2024-01-01,14,244,1,1,Neutral,Tech Support
6,2024-01-01,4,465,1,0,Neutral,Billing
7,2024-01-01,4,573,1,0,Positive,Sales
8,2024-01-01,3,300,1,0,Neutral,Sales
9,2024-01-01,16,226,1,0,Positive,Sales
10,2024-01-01,6,330,1,0,Positive,Billing
11,2024-01-01,3,469,0,0,Neutral,Tech Support
12,2024-01-01,1,185,0,0,Positive,Sales
13,2024-01-01,12,380,0,0,Positive,Billing
14,2024-01-01,4,213,1,0,Positive,Billing
15,2024-01-01,13,186,1,1,Positive,Sales
16,2024-01-01,4,206,1,0,Positive,Billing
17,2024-01-01,10,305,1,0,Neutral,Sales
18,2024-01-01,10,193,0,0,Negative,Tech Support
19,2024-01-01,16,351,1,0,Neutral,Billing
20,2024-01-01,8,210,1,0,Positive,Tech Support
21,2024-01-01,7,217,0,0,Neutral,Sales
22,2024-01-01,2,164,1,0,Positive,Tech Support
23,2024-01-01,3,396,1,1,Neutral,Billing
24,2024-01-01,18,252,1,0,Positive,Billing
25,2024-01-01,13,343,1,0,Neutral,Sales
26,2024-01-01,14,423,0,0,Neutral,Billing
27,2024-01-01,12,354,0,0,Positive,Sales
28,2024-01-01,13,317,1,0,Positive,Tech Support
29,2024-01-01,4,281,1,1,Positive,Tech Support
30,2024-01-01,12,205,1,0,Positive,Tech Support
31,2024-01-01,10,405,1,0,Neutral,Tech Support
32,2024-01-01,14,333,0,0,Positive,Sales
33,2024-01-01,2,125,0,0,Neutral,Sales
34,2024-01-01,4,258,0,0,Positive,Billing
35,2024-01-01,8,473,1,0,Positive,Tech Support
36,2024-01-01,14,386,1,0,Neutral,Sales
37,2024-01-01,4,375,0,0,Neutral,Tech Support
38,2024-01-01,7,449,1,0,Positive,Sales
39,2024-01-01,5,142,0,1,Negative,Billing
40,2024-01-01,4,294,1,0,Positive,Billing
41,2024-01-01,15,291,0,0,Positive,Billing
42,2024-01-01,6,330,0,1,Positive,Tech Support
43,2024-01-01,12,429,1,1,Positive,Sales
44,2024-01-01,15,303,0,0,Neutral,Billing
45,2024-01-01,7,187,1,0,Neutral,Billing
46,2024-01-01,8,285,1,0,Neutral,Billing
47,2024-01-01,7,277,1,0,Positive,Sales
48,2024-01-01,16,592,0,0,Neutral,Tech Support
49,2024-01-01,7,463,0,1,Neutral,Tech Support
50,2024-01-01,18,477,1,0,Neutral,Sales
51,2024-01-01,7,528,1,0,Positive,Billing
52,2024-01-01,17,370,1,0,Positive,Billing
